ref_#,domain,media_description,title,instruction,question,assessment_type,cefr_level,cefr_descriptor,question_type,subtype,skill_focus,topic,context,learning_objective,difficulty,expected_time,discrimination,guessing_factor,weight,considerations,tips,tags,partial_credit_enabled,feedback_correct,feedback_incorrect,correct_count,incorrect_count,max_attempts,word_limit_min,word_limit_max,text_genre,media_key,requirement_1,requirement_1_score_0,requirement_1_score_1,requirement_1_score_2,requirement_1_score_3,requirement_2,requirement_2_score_0,requirement_2_score_1,requirement_2_score_2,requirement_2_score_3,requirement_3,requirement_3_score_0,requirement_3_score_1,requirement_3_score_2,requirement_3_score_3,generic_requirement,generic_requirement_score_0,generic_requirement_score_1,generic_requirement_score_2,generic_requirement_score_3
W-A1-11,General,,,,Write about yourself. Include: - your name and age - what you like doing - your favorite things,Writing,a1,can give information about matters of personal relevance using simple words,simple note,short message,,self and identity,,,0.15,600,0.15,0.0,1.0,,,,FALSE,,,0.0,11.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-1,General,,,,"""Write a text message to your friend about going to a football match. Include the date, time, and place.""",Writing,a2,"""can write short, simple notes and messages relating to matters in areas of immediate need""",note,simple note writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-2,General,,,,Write about your favorite place in your town. Include: - where it is - what you can do there - why you like it,Writing,a2,"can write very short, basic descriptions of events, past activities and personal experiences",paragraph,short paragraph writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,8.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-3,General,,,,Write a note to your teacher explaining: - why you missed class - when you will return - what homework you need,Writing,a2,"can write short, simple notes and messages relating to matters in areas of immediate need",note,simple note writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-4,General,,,,Write an email inviting a friend to join your sports club. Include: - type of sport - when you meet - what they need - why they should join,Writing,a2,"can write short, simple notes and messages",letter/email,simple email writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-5,General,,,,"""Write a note to your teacher saying why you forgot your homework and when you will finish it.""",Writing,a2,"""can compose short, simple formulaic notes relating to matters in areas of immediate need""",note,simple note writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-6,General,,,,"""Write an email to your friend inviting them to a picnic. Include the date, time, and what to bring.""",Writing,a2,"""can write very simple personal letters expressing thanks and apology""",letter/email,simple email writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,3.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-7,General,,,Write a letter,"""Write a letter to your friend about a recent holiday you went on. Include where you went, what you did, and what you liked the most.""",Writing,a2,can write a short description of a trip or event.,paragraph,short paragraph writing,holistic (a2),"countries, cities, towns, and public places (a2)",,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0,7,0,50,150,,,Describe where you went on holiday,No location mentioned,Location mentioned briefly without detail,Location described with some details,Location described clearly with specific place details,Explain what you did during the holiday,No activities described,One activity mentioned but not explained,Activities described with some explanation,Activities described with clear detail and examples,Say what you liked the most and why,No personal preference given,Liked something mentioned but not explained,Liked something and gave a reason,Liked something and explained it with specific detail,Use an appropriate letter style and write clearly,No letter style or unclear writing,Some letter cues but writing is weak,Letter format is present and writing is mostly clear,Letter format is strong and writing is clear with good structure
W-A2-8,General,,,,"""Write a message to your friend inviting them to join you for a weekend trip. Include where you want to go, what you plan to do, and when you will leave.""",Writing,a2,"""can compose short, simple notes, emails and text messages""",paragraph,short paragraph writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-9,General,,,,"""Write a shopping list for your friend. Include: - 5 items you need - quantities for each item - where to buy them""",Writing,a2,"""can write short, simple notes and messages relating to matters in areas of immediate need""",note,simple note writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-10,General,,,,"""Write an email responding to your friend's party invitation. Say: - if you can come - thank them - ask what to bring""",Writing,a2,"""can write very simple personal letters expressing thanks and apology""",letter/email,simple email writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-11,General,,,,Write a note to your exercise partner about tomorrow's workout. Tell them: - what time to meet - where to meet - what exercise you plan to do - what they need to bring,Writing,a2,"can write short, simple notes and messages relating to matters in areas of immediate need",note,simple note writing,,,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-A2-12,General,,,,Write an email to a shop about an item you bought yesterday that doesn't work. Include: - what you bought - what the problem is - what you want them to do,Writing,a2,can write very simple personal letters expressing thanks and apology,simple email writing,simple email writing,,shopping and consumer activities,,,0.3,600,0.15,0.0,1.0,,,,FALSE,,,0.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-1,General,,,,"Your local council is concerned about the increasing amount of waste produced in the community. Write a report outlining the current situation, its causes, and possible solutions. Include recommendations for reducing waste.

Prompts to support thinking:

Describe the current waste management practices and their shortcomings.
Identify the main sources of waste in your community.
Suggest practical measures that individuals and the council can take to reduce waste.",Writing,b1,"""can synthesize information and arguments from a number of sources""",report,report writing,,,,,0.3,1200,0.15,0.0,1.0,,,,FALSE,,,1.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-2,General,,,,"You recently stayed at a hotel where you experienced several issues with the service. Write a formal letter of complaint to the hotel manager, explaining the problems you encountered and suggesting appropriate solutions or compensations.

Prompts to support thinking:

Detail specific issues you faced during your stay (e.g., cleanliness, service delays).
Explain how these issues affected your stay.
Suggest possible solutions or compensations (e.g., refund, free stay).",Writing,b1,"""can compose formal e-mails/letters of complaint using appropriate register and conventions""",letter/email,formal letter writing,,,,,0.3,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-3,General,,,,"Write a review of a book or movie that you have recently read or watched. Discuss its themes, characters, and your personal response to it. Evaluate its strengths and weaknesses and recommend it to a specific audience.

Prompts to support thinking:

Summarize the plot and main themes of the book or movie.
Discuss the development of the main characters.
Evaluate what you liked and disliked about it.
Recommend it to a particular audience (e.g., teenagers, history enthusiasts).",Writing,b1,"""can write reviews of films, books or plays""",article,review writing,,,,,0.3,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-4,General,,,,"Write an article for an international magazine about cultural differences and how they can affect communication in the workplace. Provide examples of common misunderstandings and suggest ways to improve cross-cultural communication.

Prompts to support thinking:

Identify common cultural differences that affect workplace communication.
Provide real-life examples of misunderstandings caused by these differences.
Suggest strategies to enhance cross-cultural communication (e.g., cultural sensitivity training, clear communication protocols).",Writing,b1,"""can write clear, detailed descriptions on a variety of subjects related to their field of interest""",article,article writing,,,,,0.3,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-5,General,,,,"""The use of plastic packaging is affecting our environment. Write an essay discussing how plastic packaging impacts your community. Provide specific examples to support your points. Prompts to support thinking: - Consider how plastic affects wildlife, streets, and waterways - Think about both necessity (food safety, convenience) and problems (pollution, waste) - Use examples from your local area and daily life""",Writing,b1,"""can produce short, simple essays on topics of interest""",essay,opinion essay,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,6.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-6,General,,,,"""Fast food restaurants are becoming more popular in many neighborhoods. Write a report about how this affects people's eating habits. Provide specific examples from your experience. Prompts to support thinking: - Consider effects on family mealtimes and cooking habits - Think about both advantages (convenience, cost) and disadvantages (health, traditional food culture) - Use examples from your own community""",Writing,b1,"""can summarise, report and give their opinion about accumulated factual information on routine matters""",report,report writing,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,1.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-7,General,,,,Your English friend wrote asking for advice about a disagreement with their roommate. Write a reply including: - your understanding of the situation - similar experience you had - suggestions for solution - offer of support,Writing,b1,can write personal letters giving news and expressing thoughts,letter/email,response letter,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-8,General,,,,"""You are going away for a week. Write a note to your friend who is taking care of your cat. Tell them what to feed the cat, how often, and any other important details.""",Writing,b1,"""can take messages communicating enquiries and explaining problems""",paragraph,descriptive writing,,,,,0.45,300,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-9,General,,,,"""Write a text message to a friend inviting them to a movie night at your place. Include the time, date, and any special instructions.""",Writing,b1,"""can compose personal letters giving news and expressing thoughts about abstract or cultural topics""",letter/email,informal letter writing,,,,,0.45,300,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-10,General,,,,"""Write a post for a social media platform about a recent trip you took. Describe where you went and what you enjoyed the most.""",Writing,b1,"""can write straightforward, detailed descriptions on a range of familiar subjects""",paragraph,descriptive writing,,,,,0.45,300,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-11,General,,,,"""Write a text message to a friend explaining why you will be late to a meeting. Include how late you will be and the reason for the delay.""",Writing,b1,"""can compose basic formal e-mails/letters""",letter/email,formal email writing,,,,,0.45,300,0.15,0.0,1.0,,,,FALSE,,,0.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-12,General,,,,"""Write a diary entry about your day at school or work. Mention at least one activity you did and how you felt about it.""",Writing,b1,"""can write a description of an event, a recent trip - real or imagined""",paragraph,descriptive writing,,,,,0.45,300,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-13,General,,,,"""Post a comment on an online forum recommending a book you recently read. Explain why you liked it and why others should read it.""",Writing,b1,"""can write straightforward reviews of books and films""",paragraph,opinion paragraph,,,,,0.45,300,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-14,General,,,,"""Write a short description of your favourite place. Explain why you like it and what you can do there.""",Writing,b1,"""can write straightforward, detailed descriptions on a range of familiar subjects""",paragraph,descriptive writing,,,,,0.45,300,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-15,General,,,,"""Write instructions for playing your favourite game. Include the rules and how to win.""",Writing,b1,"""can write very brief reports in a standard conventionalised format""",paragraph,descriptive writing,,,,,0.45,300,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-16,General,,,,"""Read the following text about the Scottish Highlands, then write a short summary.""  The Scottish Highlands
The Scottish Highlands are a region of outstanding natural beauty located in the northern part of Scotland. Known for their dramatic landscapes, the Highlands feature towering mountains, deep glens, and clear lochs. One of the most famous natural landmarks is Ben Nevis, the tallest mountain in the United Kingdom, which attracts hikers and climbers from around the world.

The region is not just about nature; it also has a rich cultural history. The Highlands were the site of many historical events, including the famous Jacobite uprisings of the 18th century. Castles such as Eilean Donan and Urquhart tell the story of Scotland’s turbulent past. The area is also home to traditions such as Highland games, which celebrate Scottish culture through sports, music, and dancing.

Today, the Highlands are a popular destination for tourists. Visitors can enjoy activities like hiking, wildlife spotting, and exploring picturesque villages. The local economy relies heavily on tourism, alongside agriculture and fishing. Despite its remoteness, the region offers a unique blend of natural beauty and cultural heritage.",Writing,b1,"""can summarise, report and give their opinion about accumulated factual information on familiar matters""",summary,summary writing,,,,,0.45,600,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-17,General,,,,"""Read the following text comparing two mobile phones, then write a short summary.""   Comparing Two Mobile Phones
When choosing a new mobile phone, comparing features is essential. Let’s look at two popular models: the TechPhone X2 and the Galaxy Lite 12. Both offer excellent functionality but cater to slightly different users.

The TechPhone X2 is known for its long battery life, lasting up to 48 hours on a single charge. It also has a sleek design and a large 6.5-inch screen, making it ideal for watching videos or browsing the internet. Its camera is capable of capturing high-resolution images, perfect for photography enthusiasts. However, the TechPhone X2 is slightly heavier and costs more than the Galaxy Lite 12.

On the other hand, the Galaxy Lite 12 is lightweight and more affordable. While its battery lasts only 36 hours, it charges faster. Its 6.1-inch screen is slightly smaller but still offers excellent quality for streaming content. The Galaxy Lite 12’s camera is not as advanced as the TechPhone X2, but it performs well in good lighting conditions.

Both phones include advanced features like face recognition and high-speed processors. Ultimately, the choice depends on personal preferences and priorities, such as budget, screen size, or battery life.",Writing,b1,"""can summarise straightforward factual information on familiar routine matters""",summary,summary writing,,,,,0.45,600,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-18,General,,,,Write a review of a movie you've seen recently for an English website. Include: - type of movie - brief plot summary - what you liked/didn't like - who would enjoy this movie,Writing,b1,can write a review of a film or book,article,review writing,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-19,General,,,,"""Read the following text about the Industrial Revolution, then write a short summary.""   The Industrial Revolution
The Industrial Revolution, which began in the late 18th century, was a period of significant change in Europe and North America. It marked the transition from manual labor to machine-based manufacturing, starting in Britain before spreading worldwide.

During this time, new inventions such as the spinning jenny and the steam engine transformed industries like textiles and transportation. Factories replaced small workshops, and cities grew as people moved to urban areas for work. This period also saw the rise of railways, which made it easier to transport goods across long distances.

However, the Industrial Revolution brought challenges as well. Many factory workers faced long hours and poor working conditions. Child labor was common, and pollution from factories increased. Despite these issues, the era laid the foundation for modern industrial economies and led to improvements in areas like education and healthcare over time.

The Industrial Revolution was a turning point in history, shaping the way we live and work today.",Writing,b1,"""can summarise the main points in simple, factual texts on familiar subjects""",summary,summary writing,,,,,0.45,600,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-20,General,,,,"""Write an email to a friend about your recent vacation. Include: - where you went - what you did - how you felt""",Writing,b1,"""can write personal letters describing experiences, feelings and events in some detail""",letter/email,informal letter writing,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-21,General,,,,"""Write a paragraph about recycling in your city. Discuss: - current situation - problems - your suggestions""",Writing,b1,"""can write short, simple essays on topics of interest""",paragraph,opinion paragraph,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-22,General,,,,Write an article for your English class website about staying healthy. Include: - importance of exercise - healthy eating tips - stress management - daily routine suggestions,Writing,b1,"can write straightforward, detailed descriptions on familiar subjects",article,article writing,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-23,General,,,,Write a blog post about a place you visited recently. Include: - where you went - what you did there - what impressed you most - recommendations for visitors,Writing,b1,"can write straightforward, detailed descriptions on familiar subjects",article,personal blog post,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-24,General,,,,Write an email to an online store about a delayed delivery. Include: - order details - description of problem - how it affected you - what you want them to do,Writing,b1,can write personal letters describing experiences and expressing opinions,letter/email,complaint email,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-25,General,,,,Write a report about your school's study facilities. Include: - current situation - positive points - problems - suggestions for improvement,Writing,b1,can write very brief reports conveying factual information,report,report writing,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-26,General,,,,Write a proposal for a community cultural festival. Include: - event description - suggested activities - required resources - potential benefits,Writing,b1,"can write short, simple essays on topics of interest",report,event proposal,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-27,General,,,,"Write an email to an English-speaking friend about your future plans. Include:

Your main goal for next year (study or work)
Why you chose this goal
How you feel about it
What steps you are taking to achieve it
Ask your friend about their plans",Writing,b1,"can give accounts of experiences, describing feelings and reactions in simple, connected text.",letter/email,informal letter writing,,,,,0.45,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-28,General,,,,"""Write a note to your landlord complaining about a problem in your apartment. Describe what the problem is, how it affects you, and what you want the landlord to do about it.""",Writing,b1,"""can formulate notes conveying simple information of immediate relevance to friends, service people, teachers and others""",letter/email,informal letter writing,,,,,0.45,300,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-29,General,,,,Write an email to your English-speaking friend about social media. Include: - how you use social media - what you like about it - any problems you've had - ask about their social media habits,Writing,b1,"can write personal letters describing experiences, feelings and events in some detail",letter/email,informal letter writing,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,2.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B1-30,General,,,,Your local newspaper wants opinions about recycling. Write about: - current recycling situation in your area - main problems - your suggestions for improvement - how people can help,Writing,b1,"can write short, simple essays on topics of interest",paragraph,opinion paragraph,,,,,0.45,900,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-1,General,,,,"""Write a review of a movie you recently watched. Include: - plot summary - acting/effects - your recommendation""",Writing,b2,"""can write a review of a film or book""",article,review writing,,,,,0.75,900,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-2,General,,,,"""Working from home has become common for many people. Write an article about how this changes the way people work. Share your observations and experiences. Prompts to support thinking: - Consider impacts on teamwork and communication - Think about both benefits (flexibility, no commute) and challenges (isolation, work-life balance) - Use examples from personal experience or friends' experiences""",Writing,b2,"""can write very brief reports in a standard conventionalised format""",article,article writing,,,,,0.75,900,0.15,0.0,1.0,,,,FALSE,,,0.0,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-3,General,,,,"""Social media has changed how people maintain friendships. Write about how online communication affects relationships. Provide specific examples. Prompts to support thinking: - Consider effects on keeping in touch with friends and making new friends - Think about both positive aspects (staying connected) and negative aspects (superficial connections) - Use examples from your own social media use""",Writing,b2,"""can write straightforward, detailed descriptions on a range of familiar subjects""",essay,opinion essay,,,,,0.75,900,0.15,0.0,1.0,,,,FALSE,,,0.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-4,General,,,,"""Exercise habits have changed with new technology and apps. Write about how technology affects people's fitness routines. Share observations and experiences. Prompts to support thinking: - Consider the impact of fitness apps and online classes - Think about both advantages (convenience, variety) and disadvantages (motivation, proper form) - Use examples from your own fitness experience""",Writing,b2,"""can write straightforward, detailed descriptions on a range of familiar subjects within their field of interest""",article,article writing,,,,,0.75,900,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-5,General,,,,"""Write an email inquiring about a job posting. Ask about: - schedule - requirements - application process""",Writing,b2,"""can write basic formal emails/letters requesting or providing information""",letter/email,formal email writing,,,,,0.75,900,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-6,General,,,,"In recent years, technology has significantly impacted various aspects of our lives. Write an essay discussing both the positive and negative effects of technology on society. Provide specific examples to support your points.

Prompts to support thinking:

Consider how technology affects communication, education, and the workplace.
Think about both the benefits (e.g., convenience, connectivity) and drawbacks (e.g., privacy concerns, job displacement).
Use examples from your own experience or recent news.",Writing,b2,"""can write an essay or report which develops an argument, giving reasons in support of or against a particular point of view and explaining the advantages and disadvantages of various options""",essay,argumentative essay,,,,,0.75,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-7,General,,,,Write an essay about online shopping consumer rights. Discuss: - current protections - common problems - needed improvements - consumer responsibilities,Writing,b2,"can write clear, detailed texts supporting or opposing a point of view",essay,persuasive essay,,,,,0.75,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-8,General,,,,Write a report comparing online and traditional learning. Include: - learning effectiveness - cost factors - social aspects - recommendations,Writing,b2,can synthesize information and arguments from multiple sources,report,report writing,,,,,0.75,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-9,General,,,,Write an email to international colleagues about a project delay. Include: - current status - reasons for delay - impact on deadlines - proposed solutions,Writing,b2,can write emails handling complex professional matters,letter/email,professional email,,,,,0.75,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-10,General,,,,"""You recently bought a laptop online, but it arrived damaged. Write an email to the company to complain about the damaged product.""",Writing,b2,"""can compose a forceful but polite letter of complaint, including supporting details and a statement of the desired outcome""",letter/email,formal letter writing,,,,,0.75,900,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-11,General,,,,"""Write a review of a restaurant you recently visited. Describe the atmosphere, the food, and the service.""",Writing,b2,"""can write clear, detailed descriptions on a variety of subjects related to their field of interest""",article,review writing,,,,,0.75,900,0.15,0.0,1.0,,,,FALSE,,,0.0,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-12,General,,,,"""Write a comment on a forum discussing the pros and cons of social media. Include your personal experiences and suggestions for safe use.""",Writing,b2,"""can synthesize information and arguments from a number of sources""",essay,opinion paragraph,,,,,0.75,900,0.15,0.0,1.0,,,,FALSE,,,0.0,5.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-13,General,,,,"""Write about how technology affects our daily lives. Use the notes: 1. Communication 2. Health 3. (your own idea)""",Writing,b2,"""can develop an argument systematically with appropriate highlighting of significant points and relevant supporting detail""",essay,opinion essay,,,,,0.75,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-14,General,,,,"""Write about the importance of learning foreign languages. Use the notes: 1. Job opportunities 2. Travel 3. (your own idea)""",Writing,b2,"""can develop an argument, giving reasons in support of or against a particular point of view""",essay,opinion essay,,,,,0.75,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,
W-B2-15,General,,,,"""Write about maintaining a healthy lifestyle. Use the notes: 1. Diet 2. Exercise 3. (your own idea)""",Writing,b2,"""can write an essay or report which develops an argument systematically""",essay,opinion essay,,,,,0.75,1200,0.15,0.0,1.0,,,,FALSE,,,0.0,4.0,0,,,,,,,,,,,,,,,,,,,,,,,,
