gse_score,created_at,topics,cefr_level,_id,updated_by,cefr,cefr_level_id,updated_at,assessment_type_id,domain,assessment_type,created_by
,2026-05-07 12:15:35.406000,"holidays, travel, and transportation (b1)",69a6cd8a304b289b4162130b,69fc8267e03f56597fb8c3aa,,b1,,2026-05-07 12:15:35.406000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.375000,"shopping, money, and personal finance (b1)",69a6cd8a304b289b4162130b,69fc8267e03f56597fb8c3a7,,b1,,2026-05-07 12:15:35.375000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.344000,science and technology (b1),69a6cd8a304b289b4162130b,69fc8267e03f56597fb8c3a4,,b1,,2026-05-07 12:15:35.344000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.314000,natural world and environment (b1),69a6cd8a304b289b4162130b,69fc8267e03f56597fb8c3a1,,b1,,2026-05-07 12:15:35.314000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.275000,workplace and jobs (b1),69a6cd8a304b289b4162130b,69fc8267e03f56597fb8c39c,,b1,,2026-05-07 12:15:35.275000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.162000,"house, home, and daily life (a1)",69a6cd8a304b289b41621309,69fc8267e03f56597fb8c392,,a1,,2026-05-07 12:15:35.162000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-07 12:15:35.127000,"sports, hobbies, and interests (a1)",69a6cd8a304b289b41621309,69fc8267e03f56597fb8c38f,,a1,,2026-05-07 12:15:35.127000,69a6cd4d0466d79b9b26298a,,Writing,
0,2026-04-23 11:01:34.643000,politics and society (c1),69a6cd8a304b289b4162130d,69e9fc0e098a3bcc43e029f3,ES Admin,c1,,2026-05-04 05:41:19.452000,69a6cd4d0466d79b9b26298a,General English,Writing,
,2026-04-23 11:01:34.342000,science and technology (c1),69a6cd8a304b289b4162130d,69e9fc0e098a3bcc43e029ee,,c1,,2026-04-23 11:01:34.342000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 11:01:34.115000,"countries, cities, towns, and public places (b2)",69a6cd8a304b289b4162130c,69e9fc0e098a3bcc43e029eb,,b2,,2026-04-23 11:01:34.115000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 11:01:33.810000,workplace and jobs (b2),69a6cd8a304b289b4162130c,69e9fc0d098a3bcc43e029e6,,b2,,2026-04-23 11:01:33.810000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 11:01:33.562000,body and health (b1),69a6cd8a304b289b4162130b,69e9fc0d098a3bcc43e029e3,,b1,,2026-04-23 11:01:33.562000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 11:01:33.271000,"education, study, and language (b1)",69a6cd8a304b289b4162130b,69e9fc0d098a3bcc43e029de,,b1,,2026-04-23 11:01:33.271000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 11:01:33.004000,"countries, cities, towns, and public places (a2)",69a6cd8a304b289b4162130a,69e9fc0d098a3bcc43e029db,,a2,,2026-04-23 11:01:33.004000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 11:01:32.662000,"sports, hobbies, and interests (a2)",69a6cd8a304b289b4162130a,69e9fc0c098a3bcc43e029d6,,a2,,2026-04-23 11:01:32.662000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 11:01:32.362000,"countries, cities, towns, and public places (a1)",69a6cd8a304b289b41621309,69e9fc0c098a3bcc43e029d3,,a1,,2026-04-23 11:01:32.362000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 11:01:31.937000,"people, relationships, and family (a1)",69a6cd8a304b289b41621309,69e9fc0b098a3bcc43e029ce,,a1,,2026-04-23 11:01:31.937000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:30.886000,politics and society (c1),,69e9f5b66cd1a39ba32cd398,,,69a6cd8a304b289b4162130d,2026-04-23 10:34:30.886000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:30.591000,science and technology (c1),,69e9f5b66cd1a39ba32cd394,,,69a6cd8a304b289b4162130d,2026-04-23 10:34:30.591000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:30.315000,"countries, cities, towns, and public places (b2)",,69e9f5b66cd1a39ba32cd391,,,69a6cd8a304b289b4162130c,2026-04-23 10:34:30.315000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:29.999000,workplace and jobs (b2),,69e9f5b56cd1a39ba32cd38d,,,69a6cd8a304b289b4162130c,2026-04-23 10:34:29.999000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:29.723000,body and health (b1),,69e9f5b56cd1a39ba32cd38a,,,69a6cd8a304b289b4162130b,2026-04-23 10:34:29.723000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:29.437000,"education, study, and language (b1)",,69e9f5b56cd1a39ba32cd386,,,69a6cd8a304b289b4162130b,2026-04-23 10:34:29.438000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:29.172000,"countries, cities, towns, and public places (a2)",,69e9f5b56cd1a39ba32cd383,,,69a6cd8a304b289b4162130a,2026-04-23 10:34:29.172000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:28.869000,"sports, hobbies, and interests (a2)",,69e9f5b46cd1a39ba32cd37f,,,69a6cd8a304b289b4162130a,2026-04-23 10:34:28.869000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:28.583000,"countries, cities, towns, and public places (a1)",,69e9f5b46cd1a39ba32cd37c,,,69a6cd8a304b289b41621309,2026-04-23 10:34:28.583000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-04-23 10:34:28.274000,"people, relationships, and family (a1)",,69e9f5b46cd1a39ba32cd378,,,69a6cd8a304b289b41621309,2026-04-23 10:34:28.274000,69a6cd4d0466d79b9b26298a,,Writing,
0,2026-04-20 06:14:24.880000,general,69a6cd8a304b289b4162130c,69e5c44015b426161f2c79d6,,b2,,2026-04-20 06:14:24.880000,69a6cd4d0466d79b9b26298a,General English,Writing,Richard
0,2026-03-10 12:39:48.026000,global challenges (accessible),69a6cd8a304b289b4162130e,69b01114efdb390f1fc5e3f3,ES Admin,c2,,2026-03-24 07:12:26.156000,69a6cd4d0466d79b9b26298a,Young Learners,Writing,
0,2026-03-10 12:39:47.984000,economic and political systems,69a6cd8a304b289b41621309,69b01113efdb390f1fc5e3f0,ES Admin,a1,,2026-04-14 13:07:46.270000,69a6cd4d0466d79b9b26298a,,Writing,
0,2026-03-03 12:18:11.297000,shopping and consumer activities,69a6cd8a304b289b4162130b,69a6d18315f5a6afb6865e72,ES Admin,b1,,2026-04-14 13:07:58.993000,69a6cd4d0466d79b9b26298a,,Writing,
0,2026-03-03 12:18:08.408000,self and identity,69a6cd8a304b289b4162130b,69a6d18015f5a6afb6865e58,ES Admin,b1,,2026-04-14 13:08:09.895000,69a6cd4d0466d79b9b26298a,,Writing,
,2026-05-08T10:19:13.740873000,"media, arts, literature, and entertainment (b2)",69a6cd8a304b289b4162130c,,Richard,b2,,2026-05-08T10:19:13.740873000,69a6cd4d0466d79b9b26298a,,Writing,Richard
,2026-05-08T10:19:13.740873000,science and technology (b2),69a6cd8a304b289b4162130c,,Richard,b2,,2026-05-08T10:19:13.740873000,69a6cd4d0466d79b9b26298a,,Writing,Richard
,2026-05-08T10:19:13.740873000,natural world and environment (b2),69a6cd8a304b289b4162130c,,Richard,b2,,2026-05-08T10:19:13.740873000,69a6cd4d0466d79b9b26298a,,Writing,Richard
,2026-05-08T10:19:13.740873000,body and health (b2),69a6cd8a304b289b4162130c,,Richard,b2,,2026-05-08T10:19:13.740873000,69a6cd4d0466d79b9b26298a,,Writing,Richard
,2026-05-08T10:19:13.740873000,"holidays, travel, and transportation (b2)",69a6cd8a304b289b4162130c,,Richard,b2,,2026-05-08T10:19:13.740873000,69a6cd4d0466d79b9b26298a,,Writing,Richard
