question_id,response
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
W-B1-20260401093728,"friendship friendshop. memories for all my friends from my high school. when i sit down and recall all of them, i imagine all my the things that i have so far achieved, throught my career, my friends john and peter where so influencial in seeing that i can perform academically. we used to discuss and revise togater. in times of difficalties they could offer me financial support, encourage me when i could feel worried and secured to do something they where always available to support me though when i joined my colleage, peter who was my best friend turned agaist me so surprising, indeed he was my close and best friend among all my friends. after aperiod of 2 years totally stopped associating with all over us immediately he got money. treated the fellow friends as people who are of no value to him. i will never forget that day i slept outside his compound upon paying a visit to his home. always good friends never disappoint , they struggle to ssupport you, encouirage you, and motivate you in"
