ref_#,domain,media_description,title,instruction,question,assessment_type,cefr_level,cefr_descriptor,question_type,subtype,skill_focus,topic,context,learning_objective,difficulty,expected_time,discrimination,guessing_factor,weight,tags,partial_credit_enabled,feedback_correct,feedback_incorrect,correct_count,incorrect_count,media_url,max_attempts,word_limit_min,word_limit_max,text_genre
W-B1-2,General,,,Read the task below and write your response in the space provided.,"<p>You recently stayed at a hotel where you experienced several issues with the service. </p><p><br></p><p><strong>Write a formal letter of complaint to the hotel manager, explaining the problems you encountered and suggesting appropriate solutions or compensations.</strong></p><p><br></p><p>Think about the below:</p><p><br></p><ul><li>Detail specific issues you faced during your stay (e.g., cleanliness, service delays).</li><li>Explain how these issues affected your stay.</li><li>Suggest possible solutions or compensations (e.g., refund, free stay).</li></ul>",Writing,b1,"""can compose formal e-mails/letters of complaint using appropriate register and conventions""",email / letter,inform (b1),holistic (b1),"holidays, travel, and transportation (b1)",,,0.64,1200,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B1-3,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write a review of a book or movie that you have recently read or watched. </strong></p><p><br></p><p>Discuss its themes, characters, and your personal response to it. </p><p>Evaluate its strengths and weaknesses and recommend it to a specific audience.</p><p><br></p><p>Think about the below:</p><p><br></p><ul><li>Summarize the plot and main themes of the book or movie.</li><li>Discuss the development of the main characters.</li><li>Evaluate what you liked and disliked about it.</li><li>Recommend it to a particular audience (e.g., teenagers, history enthusiasts).</li></ul>",Writing,b1,"""can write reviews of films, books or plays""",article,describe (b1),holistic (b1),"media, arts, literature, and entertainment (b1)",,,0.64,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B1-4,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write an article for an international magazine about cultural differences and how they can affect communication in the workplace. </strong></p><p><br></p><p>Provide examples of common misunderstandings and suggest ways to improve cross-cultural communication.</p><p><br></p><p>Think about the below:</p><p><br></p><ul><li>Identify common cultural differences that affect workplace communication.</li><li>Provide real-life examples of misunderstandings caused by these differences.</li><li>Suggest strategies to enhance cross-cultural communication (e.g., cultural sensitivity training, clear communication protocols).</li></ul>",Writing,b1,"""can write clear, detailed descriptions on a variety of subjects related to their field of interest""",article,describe (b1),holistic (b1),workplace and jobs (b1),,,0.64,1200,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-B1-6,General,,,Read the task below and write your response in the space provided.,"<p>Fast food restaurants are becoming more popular in many neighborhoods. </p><p><br></p><p><strong>Write a report about how this affects people's eating habits. </strong></p><p><br></p><p>Provide specific examples from your experience. </p><p><br></p><p>Prompts to support thinking: </p><p><br></p><ul><li>Consider effects on family mealtimes and cooking habits </li><li>Think about both advantages (convenience, cost) and disadvantages (health, traditional food culture) </li><li>Use examples from your own community""</li></ul>",Writing,b1,"""can summarise, report and give their opinion about accumulated factual information on routine matters""",report,describe (b1),holistic (b1),food and drink (b1),,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B1-7,General,,,Read the task below and write your response in the space provided.,<p>Your English friend sent you an email asking for advice about a disagreement with their roommate. </p><p><br></p><p><strong>Write a reply to their email including: </strong></p><p><br></p><p>- your understanding of the situation </p><p>- similar experience you had </p><p>- suggestions for solution </p><p>- offer of support</p>,Writing,b1,can write personal letters giving news and expressing thoughts,email / letter,inform (b1),holistic (b1),"people, relationships, and family (b1)",,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,4.0,,0,,,
W-B1-9,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write a message to a friend inviting them to a movie night at your place.</strong> </p><p><br></p><p>Include the time, date, and any special instructions.</p>",Writing,b1,"""can compose personal letters giving news and expressing thoughts about abstract or cultural topics""",email / letter,inform (b1),holistic (b1),"media, arts, literature, and entertainment (b1)",,,0.64,300,0.1,0.0,1.0,,FALSE,,,0.0,6.0,,0,,,
W-B1-10,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a detailed post for a social media platform about a recent trip you took. </strong></p><p><br></p><p>Describe where you went and what you enjoyed the most.</p>,Writing,b1,"""can write straightforward, detailed descriptions on a range of familiar subjects""",paragraph,inform (b1),holistic (b1),"holidays, travel, and transportation (b1)",,,0.64,300,0.1,0.0,1.0,,FALSE,,,0.0,3.0,,0,,,
W-B1-12,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a diary entry about your day at school or work. </strong></p><p><br></p><p>Mention at least one activity you did and how you felt about it.</p>,Writing,b1,"""can write a description of an event, a recent trip - real or imagined""",paragraph,inform (b1),holistic (b1),"house, home, and daily life (b1)",,,0.64,300,0.1,0.0,1.0,,FALSE,,,0.0,5.0,,0,,,
W-B1-13,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a post for an online forum recommending a book you recently read. </strong></p><p><br></p><p>Explain why you liked it and why others should read it.</p>,Writing,b1,"""can write straightforward reviews of books and films""",paragraph,describe (b1),holistic (b1),"media, arts, literature, and entertainment (b1)",,,0.64,300,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B1-14,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a description of your favourite place. </strong></p><p><br></p><p>Explain why you like it and what you can do there.</p>,Writing,b1,"""can write straightforward, detailed descriptions on a range of familiar subjects""",paragraph,describe (b1),holistic (b1),"countries, cities, towns, and public places (b1)",,,0.64,300,0.1,0.0,1.0,,FALSE,,,0.0,3.0,,0,,,
W-B1-15,General,,,Read the task below and write your response in the space provided.,<p><strong>Write instructions for playing your favourite game. </strong></p><p><br></p><p>Include the rules and how to win.</p>,Writing,b1,"""can write very brief reports in a standard conventionalised format""",paragraph,inform (b1),holistic (b1),"sports, hobbies, and interests (b1)",,,0.64,300,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B1-18,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a review of a movie you've seen recently for an English website. </strong></p><p><br></p><p>Include the folowing information: </p><p><br></p><ul><li>type of movie </li><li>brief plot summary </li><li>what you liked/didn't like </li><li>who would enjoy this movie</li></ul>,Writing,b1,can write a review of a film or book,article,describe (b1),holistic (b1),"media, arts, literature, and entertainment (b1)",,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B1-20,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an email to a friend about your recent vacation. </strong></p><p><br></p><p>Include the following information: </p><p><br></p><ul><li>where you went  </li><li>what you did </li><li>how you felt</li></ul>,Writing,b1,"""can write personal letters describing experiences, feelings and events in some detail""",email / letter,describe (b1),holistic (b1),"countries, cities, towns, and public places (b1)",,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-B1-21,General,,,Read the task below and write your response in the space provided.,<p><strong>Write about recycling in your city/country. </strong></p><p><br></p><p>Discuss the following:</p><p> </p><ul><li>current situation </li><li>problems </li><li>your suggestions</li></ul>,Writing,b1,"""can write short, simple essays on topics of interest""",paragraph,describe (b1),holistic (b1),natural world and environment (b1),,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B1-22,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an article for your English class website about staying healthy. </strong></p><p><br></p><p>Include the information below: </p><p><br></p><ul><li>importance of exercise </li><li>healthy eating tips </li><li>stress management </li><li>daily routine suggestions</li></ul>,Writing,b1,"can write straightforward, detailed descriptions on familiar subjects",article,describe (b1),holistic (b1),body and health (b1),,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B1-23,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a blog post about a place you visited recently. </strong></p><p><br></p><p>Include the information below: </p><p><br></p><ul><li>where you went </li><li>what you did there </li><li>what impressed you most </li><li>recommendations for visitors</li></ul>,Writing,b1,"can write straightforward, detailed descriptions on familiar subjects",article,describe (b1),holistic (b1),"holidays, travel, and transportation (b1)",,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B1-24,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an email to an online store about a delayed delivery. </strong></p><p><br></p><p>Include the information below: </p><p><br></p><ul><li>order details </li><li>description of problem </li><li>how it affected you </li><li>what you want them to do</li></ul>,Writing,b1,can write personal letters describing experiences and expressing opinions,email / letter,inform (b1),holistic (b1),"shopping, money, and personal finance (b1)",,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-B1-25,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a report about your school's study facilities. </strong></p><p><br></p><p>Include the information below: </p><p><br></p><ul><li>current situation </li><li>positive points </li><li>problems </li><li>suggestions for improvement</li></ul>,Writing,b1,can write very brief reports conveying factual information,report,describe (b1),holistic (b1),"education, study, and language (b1)",,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,2.0,,0,,,
W-B1-26,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a proposal for a community cultural festival. </strong></p><p><br></p><p>Include the information below: - </p><p><br></p><ul><li>event description </li><li>suggested activities </li><li>required resources </li><li>potential benefits</li></ul>,Writing,b1,"can write short, simple essays on topics of interest",report,persuade (b1),holistic (b1),"cultures, customs, religion, and traditions (b1)",,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-B1-27,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an email to an English-speaking friend about your future plans. </strong></p><p><br></p><p>﻿Include the information below:</p><p><br></p><ul><li>Your main goal for next year (study or work)</li><li>Why you chose this goal</li><li>How you feel about it</li><li>What steps you are taking to achieve it</li><li>Ask your friend about their plans</li></ul>,Writing,b1,"can give accounts of experiences, describing feelings and reactions in simple, connected text.",email / letter,inform (b1),holistic (b1),"education, study, and language (b1)",,,0.64,1200,0.1,0.0,1.0,,FALSE,,,0.0,3.0,,0,,,
W-B1-28,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write an email to your landlord complaining about a problem in your apartment. </strong></p><p><br></p><p>Describe what the problem is, how it affects you, and what you want the landlord to do about it.</p>",Writing,b1,"""can formulate notes conveying simple information of immediate relevance to friends, service people, teachers and others""",email / letter,inform (b1),holistic (b1),"house, home, and daily life (b1)",,,0.64,300,0.1,0.0,1.0,,FALSE,,,0.0,5.0,,0,,,
W-B1-29,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an email to your English-speaking friend about social media. </strong></p><p><br></p><p>Include the information below: </p><p><br></p><ul><li>how you use social media </li><li>what you like about it </li><li>any problems you've had </li><li>ask about their social media habits</li></ul>,Writing,b1,"can write personal letters describing experiences, feelings and events in some detail",email / letter,describe (b1),holistic (b1),science and technology (b1),,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-B1-30,General,,,Read the task below and write your response in the space provided.,<p><strong>Your local newspaper wants opinions about recycling. </strong></p><p><br></p><p>Write about: </p><p><br></p><ul><li>current recycling situation in your area </li><li>main problems </li><li>your suggestions for improvement </li><li>how people can help</li></ul>,Writing,b1,"can write short, simple essays on topics of interest",paragraph,describe (b1),holistic (b1),natural world and environment (b1),,,0.64,900,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-B2-1,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a review of a movie you recently watched. </strong></p><p><br></p><p>Include: </p><p><br></p><p>- plot summary</p><p>- acting/effects </p><p>- your recommendation</p>,Writing,b2,"""can write a review of a film or book""",article,inform (b2),holistic (b2),"media, arts, literature, and entertainment (b2)",,,0.83,900,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-2,General,,,Read the task below and write your response in the space provided.,"<p>Working from home has become common for many people. </p><p><br></p><p><strong>Write an article about how this changes the way people work. </strong></p><p><br></p><p>Share your observations and experiences. </p><p><br></p><p>- Consider impacts on teamwork and communication </p><p>- Think about both benefits (flexibility, no commute) and challenges (isolation, work-life balance) </p><p>- Use examples from personal experience or friends' experiences</p>",Writing,b2,"""can write very brief reports in a standard conventionalised format""",article,inform (b2),holistic (b2),workplace and jobs (b2),,,0.83,900,0.1,0.0,1.0,,FALSE,,,0,0,,0,100,300,
W-B2-3,General,,,Read the task below and write your response in the space provided.,<p><em>Social media has changed the way people maintain friendships.</em></p><p><br></p><p><strong>Write an essay discussing how online communication affects relationships.</strong></p><p><br></p><ul><li>Consider how it affects keeping in touch with old friends and making new ones</li><li>Think about both the positive and negative effects</li><li>Use examples from your own experience</li></ul><p><br></p>,Writing,b2,"""can write straightforward, detailed descriptions on a range of familiar subjects""",essay,evaluate (b2),holistic (b2),"people, relationships, and family (b2)",,,0.83,900,0.1,0.0,1.0,,FALSE,,,0,1,,0,50,400,
W-B2-4,General,,,Read the task below and write your response in the space provided.,"<p>Exercise habits have changed with new technology and apps. </p><p><br></p><p><strong>Write about how technology affects people's fitness routines. </strong></p><p><br></p><p>Share your observations and experiences. </p><p><br></p><p>- Consider the impact of fitness apps and online classes </p><p>- Think about both advantages and disadvantages </p><p>- Use examples from your own fitness experience""</p>",Writing,b2,"""can write straightforward, detailed descriptions on a range of familiar subjects within their field of interest""",article,inform (b2),holistic (b2),body and health (b2),,,0.83,900,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-5,General,,,Read the task below and write your response in the space provided.,<p>Write an email inquiring about a job posting. </p><p><br></p><p>Ask about: </p><p><br></p><p>- schedule </p><p>- requirements</p><p> - application process</p>,Writing,b2,"""can write basic formal emails/letters requesting or providing information""",email / letter,request/respond (b2),holistic (b2),workplace and jobs (b2),,,0.83,900,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-B2-6,General,,,Read the task below and write your response in the space provided.,<p><em>Technology has changed almost every part of modern life.</em></p><p><br></p><p><strong>Write an essay discussing the positive and negative effects of technology on society.</strong></p><p><br></p><ul><li>Consider how technology affects the way people communicate and learn</li><li>Think about both the benefits and the problems it creates</li><li>Use examples from your own experience</li></ul><p><br></p>,Writing,b2,"""can write an essay or report which develops an argument, giving reasons in support of or against a particular point of view and explaining the advantages and disadvantages of various options""",essay,persuade (b2),holistic (b2),science and technology (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0,5,,0,50,400,
W-B2-7,General,,,Read the task below and write your response in the space provided.,"<p><em>Online shopping has grown rapidly, but many consumers are unaware of their rights.</em></p><p><br></p><p><strong>Write an essay discussing the rights and responsibilities of online shoppers.</strong></p><p><br></p><ul><li>Consider what protections exist for consumers when shopping online</li><li>Think about the problems people commonly face and how they can be resolved</li><li>Use examples from your own or others' shopping experiences</li></ul><p><br></p>",Writing,b2,"can write clear, detailed texts supporting or opposing a point of view",essay,persuade (b2),holistic (b2),"shopping, money, and personal finance (b2)",,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0,4,,0,50,400,
W-B2-8,General,,,Read the task below and write your response in the space provided.,<p><strong>Write a report comparing online and traditional learning.</strong></p><p><br></p><p>Include: </p><p><br></p><p>- learning effectiveness </p><p>- cost factors </p><p>- social aspects </p><p>- recommendations</p>,Writing,b2,can synthesize information and arguments from multiple sources,report,inform (b2),holistic (b2),"education, study, and language (b2)",,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-9,General,,,Read the task below and write your response in the space provided.,<p><strong>Write an email to international colleagues about a project delay</strong>. </p><p><br></p><p>Include: </p><p><br></p><p>- current status </p><p>- reasons for delay </p><p>- impact on deadlines </p><p>- proposed solutions</p>,Writing,b2,can write emails handling complex professional matters,email / letter,inform (b2),holistic (b2),workplace and jobs (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0.0,0.0,,0,,,
W-B2-10,General,,,Read the task below and write your response in the space provided.,"<p>You recently bought a laptop online, but it arrived damaged. </p><p><br></p><p><strong>Write an email to the company to complain about the damaged product.</strong></p>",Writing,b2,"""can compose a forceful but polite letter of complaint, including supporting details and a statement of the desired outcome""",email / letter,request/respond (b2),holistic (b2),"shopping, money, and personal finance (b2)",,,0.83,900,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-B2-11,General,,,Read the task below and write your response in the space provided.,"<p><strong>Write a review of a restaurant you recently visited. </strong></p><p><br></p><p>Describe the atmosphere, the food, and the service.</p>",Writing,b2,"""can write clear, detailed descriptions on a variety of subjects related to their field of interest""",article,inform (b2),holistic (b2),food and drink (b2),,,0.83,900,0.1,0.0,1.0,,FALSE,,,0.0,1.0,,0,,,
W-B2-12,General,,,Read the task below and write your response in the space provided.,"<p><em>Social media is now part of daily life for millions of people around the world.</em></p><p><br></p><p><strong>Write an essay discussing the advantages and disadvantages of social media.</strong></p><p><br></p><ul><li>Consider how social media affects communication, relationships, and mental health</li><li>Think about both the benefits and the risks of using it</li><li>Use examples from your own experience</li></ul><p><br></p>",Writing,b2,"""can synthesize information and arguments from a number of sources""",essay,describe (b2),holistic (b2),politics and society (b2),,,0.83,900,0.1,0.0,1.0,,FALSE,,,0,2,,0,50,400,
W-B2-13,General,,,Read the task below and write your response in the space provided.,<p><em>Many people today find it difficult to separate their work life from their personal life.</em></p><p><br></p><p><strong>Write an essay discussing the challenges of maintaining a healthy work-life balance.</strong></p><p><br></p><ul><li>Consider why it has become harder for people to switch off from work</li><li>Think about both the effects on individuals and what employers could do differently</li><li>Use examples from your own experience or people you know</li></ul><p><br></p>,Writing,b2,"""can develop an argument systematically with appropriate highlighting of significant points and relevant supporting detail""",essay,inform (b2),holistic (b2),workplace and jobs (b2),,,0.83,1200,0.1,0.0,1.0,,FALSE,,,0,6,,0,50,400,
